id;river_km_id;datetime;water_perc;ice_perc;other_perc;cloud_perc;nd_perc;qc;source
163;117263;2019-08-24T18:51:23;99;1;0;0;0;2;Sentinel-1 Sentinel-2
164;117263;2019-08-26T18:35:07;96;4;0;0;0;2;Sentinel-1
165;117263;2019-08-28T13:04:09;0;0;0;99;1;0;Sentinel-2
166;117263;2019-08-29T18:59:32;98;1;0;0;1;2;Sentinel-1 Sentinel-2
167;117263;2019-08-30T18:50:44;99;1;0;0;0;2;Sentinel-1 Sentinel-2
168;117263;2019-08-31T18:43:13;99;1;0;0;0;2;Sentinel-1 Sentinel-2
169;117263;2019-09-01T18:34:25;99;1;0;0;0;2;Sentinel-1 Sentinel-2
170;117263;2019-09-04T18:58:49;99;1;0;0;0;2;Sentinel-1 Sentinel-2
171;117263;2019-09-05T18:51:25;99;1;0;0;0;2;Sentinel-1 Sentinel-2
172;117263;2019-09-06T12:44:11;0;0;0;99;1;0;Sentinel-2
173;117263;2019-09-07T18:35:07;97;3;0;0;0;2;Sentinel-1
174;117263;2019-09-10T18:59:32;97;2;0;0;1;2;Sentinel-1 Sentinel-2
175;117263;2019-09-11T18:50:45;99;1;0;0;0;2;Sentinel-1 Sentinel-2
176;117263;2019-09-12T18:43:13;98;1;0;0;1;2;Sentinel-1 Sentinel-2
177;117263;2019-09-13T18:34:26;98;2;0;0;0;2;Sentinel-1 Sentinel-2
178;117263;2019-09-16T18:58:51;98;1;0;0;1;2;Sentinel-1 Sentinel-2
179;117263;2019-09-17T18:51:25;88;1;11;0;0;2;Sentinel-1 Sentinel-2
180;117263;2019-09-19T18:35:08;96;4;0;0;0;2;Sentinel-1
181;117263;2019-09-22T07:42:20;94;5;0;0;1;2;Sentinel-1
182;117263;2019-09-23T13:23:44;99;1;0;0;0;2;Sentinel-1 Sentinel-2
183;117263;2019-09-24T18:43:13;98;2;0;0;0;2;Sentinel-1 Sentinel-2
184;117263;2019-09-25T18:34:26;98;1;0;0;1;2;Sentinel-1 Sentinel-2
185;117263;2019-09-28T18:58:51;98;1;0;0;1;2;Sentinel-1 Sentinel-2
186;117263;2019-09-29T18:51:25;100;0;0;0;0;0;Sentinel-1 Sentinel-2
187;117263;2019-10-01T18:35:08;99;0;0;0;1;0;Sentinel-1 Sentinel-2
188;117263;2019-10-02T13:03:53;13;0;0;86;1;0;Sentinel-1 Sentinel-2
189;117263;2019-10-04T18:59:47;64;35;0;0;1;2;Sentinel-1 Sentinel-2
190;117263;2019-10-05T07:33:17;95;5;0;0;0;2;Sentinel-1
191;117263;2019-10-06T18:43:13;99;1;0;0;0;2;Sentinel-1 Sentinel-2
192;117263;2019-10-07T18:34:26;98;2;0;0;0;2;Sentinel-1 Sentinel-2
193;117263;2019-10-10T18:58:51;99;1;0;0;0;2;Sentinel-1 Sentinel-2
194;117263;2019-10-11T18:51:25;97;2;0;0;1;2;Sentinel-1 Sentinel-2
195;117263;2019-10-12T13:04:00;95;1;0;3;1;0;Sentinel-2
196;117263;2019-10-13T18:35:08;98;1;0;0;1;2;Sentinel-1 Sentinel-2
197;117263;2019-10-14T12:53:41;0;0;0;99;1;0;Sentinel-1 Sentinel-2
198;117263;2019-10-16T07:42:20;94;5;0;0;1;2;Sentinel-1
199;117263;2019-10-17T18:50:45;98;1;1;0;0;2;Sentinel-1 Sentinel-2
200;117263;2019-10-18T18:43:13;99;1;0;0;0;2;Sentinel-1 Sentinel-2
201;117263;2019-10-19T18:34:26;95;2;3;0;0;1;Sentinel-1 Sentinel-2
202;117263;2019-10-22T18:58:52;99;1;0;0;0;2;Sentinel-1 Sentinel-2
203;117263;2019-10-23T18:51:25;99;1;0;0;0;2;Sentinel-1 Sentinel-2
204;117263;2019-10-25T18:35:08;98;2;0;0;0;2;Sentinel-1 Sentinel-2
205;117263;2019-10-26T13:33:52;6;1;19;74;0;0;Sentinel-1 Sentinel-2
206;117263;2019-10-27T13:04:08;94;1;0;4;1;0;Sentinel-2
207;117263;2019-10-28T18:59:32;98;1;0;0;1;2;Sentinel-1 Sentinel-2
208;117263;2019-10-29T07:33:17;98;2;0;0;0;2;Sentinel-1
209;117263;2019-10-30T18:43:13;98;1;0;0;1;2;Sentinel-1 Sentinel-2
210;117263;2019-10-31T18:34:26;99;1;0;0;0;2;Sentinel-1 Sentinel-2
211;117263;2019-11-03T07:41:28;99;1;0;0;0;2;Sentinel-1
212;117263;2019-11-04T18:51:25;98;1;0;0;1;2;Sentinel-1 Sentinel-2
213;117263;2019-11-05T12:44:07;0;1;7;92;0;0;Sentinel-2
214;117263;2019-11-06T18:35:08;98;2;0;0;0;2;Sentinel-1 Sentinel-2
215;117263;2019-11-09T07:42:20;86;13;0;0;1;2;Sentinel-1
216;117263;2019-11-10T07:33:17;97;3;0;0;0;2;Sentinel-1
217;117263;2019-11-12T18:34:26;98;1;0;0;1;2;Sentinel-1 Sentinel-2
218;117263;2019-11-15T07:41:28;98;2;0;0;0;2;Sentinel-1
219;117263;2019-11-16T18:51:25;98;1;0;0;1;2;Sentinel-1 Sentinel-2
220;117263;2019-11-18T18:35:08;75;25;0;0;0;2;Sentinel-1
221;117263;2019-11-21T07:42:20;96;3;0;0;1;2;Sentinel-1
222;117263;2019-11-22T07:33:17;99;1;0;0;0;2;Sentinel-1
223;117263;2019-11-23T18:43:13;98;1;0;0;1;2;Sentinel-1
224;117263;2019-11-24T18:34:26;99;1;0;0;0;2;Sentinel-1
225;117263;2019-11-27T07:41:27;99;1;0;0;0;2;Sentinel-1
226;117263;2019-11-28T07:34:10;98;1;0;0;1;2;Sentinel-1
227;117263;2019-11-30T18:35:08;98;2;0;0;0;2;Sentinel-1
228;117263;2019-12-03T07:42:20;90;10;0;0;0;2;Sentinel-1
229;117263;2019-12-04T07:33:17;97;3;0;0;0;2;Sentinel-1
230;117263;2019-12-05T18:43:13;97;2;0;0;1;2;Sentinel-1
231;117263;2019-12-06T18:34:26;97;2;0;0;1;2;Sentinel-1
232;117263;2019-12-09T07:41:27;98;2;0;0;0;2;Sentinel-1
233;117263;2019-12-10T07:34:10;99;1;0;0;0;2;Sentinel-1
234;117263;2019-12-12T18:35:07;97;2;0;0;1;2;Sentinel-1
235;117263;2019-12-15T07:42:19;98;2;0;0;0;2;Sentinel-1
236;117263;2019-12-16T07:33:17;98;1;0;0;1;2;Sentinel-1
237;117263;2019-12-17T18:43:13;98;2;0;0;0;2;Sentinel-1
238;117263;2019-12-18T18:34:25;98;2;0;0;0;2;Sentinel-1
239;117263;2019-12-21T07:41:26;74;26;0;0;0;2;Sentinel-1
240;117263;2019-12-22T07:34:08;97;3;0;0;0;2;Sentinel-1
241;117263;2019-12-24T18:35:07;94;5;0;0;1;2;Sentinel-1
242;117263;2019-12-27T07:42:19;87;13;0;0;0;2;Sentinel-1
243;117263;2019-12-28T07:33:16;98;1;0;0;1;2;Sentinel-1
244;117263;2019-12-29T18:43:13;95;5;0;0;0;2;Sentinel-1
245;117263;2019-12-30T18:34:25;96;4;0;0;0;2;Sentinel-1
246;117263;2020-01-02T07:41:26;94;6;0;0;0;2;Sentinel-1
247;117263;2020-01-03T07:34:08;95;5;0;0;0;2;Sentinel-1
248;117263;2020-01-05T18:35:06;87;13;0;0;0;2;Sentinel-1
249;117263;2020-01-08T07:42:18;77;22;0;0;1;2;Sentinel-1
250;117263;2020-01-09T07:33:16;97;2;0;0;1;2;Sentinel-1
251;117263;2020-01-10T18:43:11;95;5;0;0;0;2;Sentinel-1
252;117263;2020-01-11T18:34:23;95;5;0;0;0;2;Sentinel-1
253;117263;2020-01-14T07:41:24;92;8;0;0;0;2;Sentinel-1
254;117263;2020-01-17T18:35:06;94;6;0;0;0;2;Sentinel-1
255;117263;2020-01-20T07:42:18;92;7;0;0;1;2;Sentinel-1
256;117263;2020-01-21T07:33:14;98;2;0;0;0;2;Sentinel-1
257;117263;2020-01-22T18:43:11;94;6;0;0;0;2;Sentinel-1
258;117263;2020-01-23T18:34:23;96;4;0;0;0;2;Sentinel-1
259;117263;2020-01-26T07:41:24;96;3;0;0;1;2;Sentinel-1
260;117263;2020-01-27T18:51:23;97;3;0;0;0;2;Sentinel-1 Sentinel-2
261;117263;2020-01-29T18:35:05;94;6;0;0;0;2;Sentinel-1 Sentinel-2
262;117263;2020-02-01T18:59:29;92;7;0;0;1;2;Sentinel-1 Sentinel-2
263;117263;2020-02-02T07:33:14;98;1;0;0;1;2;Sentinel-1
264;117263;2020-02-03T18:43:11;97;2;0;0;1;2;Sentinel-1
265;117263;2020-02-04T18:34:23;98;2;0;0;0;2;Sentinel-1
266;117263;2020-02-06T13:43:14;0;48;0;52;0;1;Sentinel-2
267;117263;2020-02-07T18:58:48;97;2;0;0;1;2;Sentinel-1 Sentinel-2
268;117263;2020-02-08T18:51:23;95;5;0;0;0;2;Sentinel-1 Sentinel-2
269;117263;2020-02-09T13:03:45;0;86;2;12;0;1;Sentinel-2
270;117263;2020-02-10T18:35:05;92;8;0;0;0;2;Sentinel-1 Sentinel-2
271;117263;2020-02-13T18:59:29;24;76;0;0;0;2;Sentinel-1 Sentinel-2
272;117263;2020-02-14T18:50:42;98;2;0;0;0;2;Sentinel-1 Sentinel-2
273;117263;2020-02-15T18:43:11;97;2;0;0;1;2;Sentinel-1 Sentinel-2
274;117263;2020-02-16T18:34:23;43;56;1;0;0;1;Sentinel-1 Sentinel-2
275;117263;2020-02-18T12:43:48;0;0;0;100;0;0;Sentinel-2
276;117263;2020-02-19T18:58:48;98;2;0;0;0;2;Sentinel-1 Sentinel-2
277;117263;2020-02-20T18:51:23;97;2;0;0;1;2;Sentinel-1 Sentinel-2
278;117263;2020-02-22T18:35:05;94;6;0;0;0;2;Sentinel-1 Sentinel-2
279;117263;2020-02-23T13:33:24;0;0;0;99;1;0;Sentinel-1 Sentinel-2
280;117263;2020-02-25T18:59:29;97;3;0;0;0;2;Sentinel-1 Sentinel-2
281;117263;2020-02-26T18:50:42;98;1;0;0;1;2;Sentinel-1 Sentinel-2
282;117263;2020-02-27T18:43:11;98;2;0;0;0;2;Sentinel-1 Sentinel-2
283;117263;2020-02-28T18:34:23;97;2;0;0;1;2;Sentinel-1 Sentinel-2
284;117263;2020-03-02T18:58:48;98;2;0;0;0;2;Sentinel-1 Sentinel-2
285;117263;2020-03-03T18:51:23;98;2;0;0;0;2;Sentinel-1 Sentinel-2
286;117263;2020-03-04T13:33:49;0;0;0;100;0;0;Sentinel-2
